response_id,Predictions
26113,Stayed
54391,Stayed
73699,Stayed
8973,Left
27063,Stayed
12499,Stayed
57240,Left
16086,Left
57498,Stayed
25678,Stayed
5399,Stayed
26921,Stayed
24789,Stayed
10344,Stayed
21539,Stayed
49035,Left
58333,Stayed
60726,Stayed
21483,Left
25077,Left
26164,Stayed
66848,Stayed
69390,Left
58365,Stayed
36404,Left
66793,Left
39806,Left
20549,Stayed
52091,Stayed
70166,Left
24781,Stayed
50004,Stayed
56271,Stayed
40007,Stayed
70983,Stayed
42778,Left
30992,Left
21862,Left
2330,Stayed
63682,Stayed
50413,Left
4073,Left
33609,Stayed
68539,Stayed
70173,Left
36065,Stayed
29650,Left
15125,Left
72659,Left
48203,Stayed
43607,Left
66334,Stayed
42503,Stayed
48746,Stayed
69782,Stayed
53713,Left
69169,Stayed
13711,Stayed
34945,Stayed
11381,Stayed
32320,Stayed
52214,Left
20538,Left
48627,Stayed
36167,Left
14562,Stayed
644,Stayed
6374,Left
29133,Left
5334,Left
7282,Stayed
59535,Stayed
26894,Stayed
12504,Stayed
12544,Left
13343,Left
53978,Left
51577,Stayed
27505,Left
48819,Stayed
68743,Stayed
58869,Left
59685,Stayed
7726,Stayed
41175,Stayed
72273,Stayed
42353,Stayed
43213,Left
33620,Stayed
12404,Stayed
54471,Stayed
51270,Left
69763,Stayed
63029,Stayed
24944,Left
56172,Left
41672,Left
23676,Left
54250,Stayed
21563,Left
58083,Stayed
57053,Stayed
38880,Stayed
57626,Left
51966,Left
62528,Left
69249,Left
5548,Stayed
58253,Stayed
44314,Left
44924,Stayed
42422,Stayed
71988,Left
44072,Left
61738,Left
30587,Stayed
29307,Stayed
2437,Stayed
9721,Stayed
7101,Stayed
11793,Stayed
71606,Stayed
41213,Stayed
59603,Stayed
21520,Left
10036,Left
9084,Left
36988,Left
7023,Left
22036,Stayed
66507,Stayed
66153,Stayed
72581,Left
48936,Stayed
58849,Left
15863,Stayed
18353,Stayed
64560,Left
774,Left
69770,Left
18049,Stayed
46392,Left
30800,Stayed
31139,Stayed
34401,Left
35797,Stayed
27048,Stayed
21710,Stayed
49088,Left
33037,Stayed
71625,Left
47329,Stayed
23456,Stayed
15744,Stayed
36091,Stayed
1373,Left
67416,Stayed
53268,Left
20565,Left
2680,Left
51555,Stayed
25572,Stayed
40262,Left
59647,Stayed
17125,Stayed
21205,Stayed
44510,Stayed
25172,Left
46406,Stayed
42541,Stayed
36782,Stayed
10381,Stayed
9207,Stayed
30380,Stayed
30199,Left
56811,Left
15275,Left
39469,Stayed
33198,Left
37818,Stayed
59420,Stayed
12266,Stayed
68556,Stayed
42260,Left
15898,Left
3057,Stayed
525,Left
68702,Left
12848,Left
30534,Left
2351,Left
9094,Left
47757,Stayed
70546,Stayed
66632,Stayed
71746,Stayed
66089,Left
5822,Left
18604,Stayed
17325,Left
53370,Stayed
55484,Stayed
24711,Left
11098,Stayed
65762,Stayed
71877,Stayed
29267,Stayed
45086,Stayed
49805,Left
32058,Stayed
37152,Stayed
8045,Stayed
29100,Left
69521,Left
71068,Left
4746,Stayed
21502,Stayed
7193,Stayed
54383,Stayed
28740,Stayed
61795,Left
72977,Stayed
29323,Left
45177,Left
33912,Left
54118,Left
68076,Left
43583,Stayed
66661,Left
3804,Left
10959,Left
67885,Stayed
59305,Left
19171,Stayed
71307,Stayed
57335,Left
18946,Left
69056,Stayed
68588,Stayed
36634,Left
62395,Left
15007,Left
68826,Left
53001,Left
46636,Stayed
54702,Stayed
23275,Stayed
57204,Stayed
53099,Left
57000,Left
44276,Left
36032,Stayed
41953,Left
56143,Stayed
5263,Stayed
36987,Stayed
66934,Stayed
59591,Left
31917,Stayed
64425,Left
55095,Stayed
2450,Stayed
65564,Stayed
70074,Left
33073,Stayed
13771,Left
15682,Stayed
21500,Left
31279,Stayed
43829,Stayed
2728,Left
17464,Stayed
45094,Left
72490,Stayed
71467,Stayed
47031,Stayed
8526,Left
33639,Stayed
9421,Left
13248,Left
56599,Left
55510,Stayed
61364,Left
54058,Stayed
63257,Stayed
44178,Stayed
57122,Left
72476,Left
20590,Left
39546,Left
7428,Left
25765,Left
12321,Left
31571,Left
45423,Stayed
7717,Left
71072,Stayed
17889,Left
61793,Stayed
44339,Stayed
37340,Stayed
56351,Stayed
30981,Stayed
43609,Left
13438,Stayed
40443,Left
51877,Left
51078,Left
55276,Left
36150,Stayed
69219,Stayed
37719,Stayed
54451,Left
34068,Stayed
44077,Stayed
37363,Stayed
67636,Stayed
40115,Left
51397,Left
33957,Stayed
66495,Stayed
26024,Stayed
68822,Left
67865,Stayed
36801,Left
14474,Stayed
71058,Stayed
24466,Stayed
7481,Left
64829,Stayed
44223,Stayed
48486,Stayed
32492,Left
48629,Stayed
63367,Stayed
45993,Stayed
48099,Stayed
14205,Stayed
32368,Stayed
61239,Stayed
70132,Left
61427,Stayed
43252,Left
34523,Stayed
33393,Left
33005,Stayed
35788,Stayed
25195,Stayed
63011,Left
11100,Left
1286,Stayed
18964,Left
4592,Left
9156,Left
23971,Left
72430,Stayed
66682,Left
43568,Stayed
45432,Left
70001,Stayed
49817,Left
72727,Stayed
50971,Stayed
69494,Left
27593,Stayed
51620,Stayed
52616,Left
4802,Stayed
51219,Left
66703,Left
3182,Left
62082,Stayed
6559,Stayed
9770,Stayed
8466,Stayed
29559,Left
12001,Stayed
37177,Stayed
31745,Stayed
45152,Stayed
62550,Stayed
19851,Left
66014,Stayed
3803,Stayed
6943,Left
38152,Left
5360,Stayed
46605,Stayed
22537,Stayed
33769,Left
1519,Left
21127,Stayed
60806,Stayed
31165,Left
59607,Left
61440,Stayed
67275,Stayed
59575,Left
52040,Stayed
44663,Stayed
62729,Left
55112,Stayed
10956,Left
26345,Left
32657,Stayed
30518,Stayed
10573,Left
67027,Stayed
70046,Left
62900,Stayed
34450,Stayed
71910,Left
36907,Left
74182,Left
48041,Left
67753,Stayed
53208,Left
71442,Left
64808,Stayed
61609,Stayed
67900,Stayed
68127,Left
37441,Left
70186,Left
16253,Left
30504,Stayed
38173,Left
16195,Stayed
28357,Stayed
49156,Stayed
67616,Left
53225,Left
21490,Left
68571,Stayed
43160,Stayed
12213,Left
60766,Stayed
41088,Stayed
28113,Left
13346,Left
6285,Left
35835,Stayed
39692,Left
477,Stayed
52882,Stayed
57353,Stayed
5074,Stayed
5642,Stayed
73484,Stayed
48552,Stayed
6404,Stayed
51676,Left
43529,Left
1425,Stayed
18095,Stayed
24413,Stayed
39061,Left
20587,Left
38988,Stayed
65535,Stayed
36097,Left
3048,Left
12678,Left
2557,Left
36299,Stayed
49318,Left
6265,Stayed
28809,Stayed
20092,Stayed
38966,Stayed
58173,Left
44162,Stayed
12604,Stayed
5174,Left
28939,Left
38084,Left
41405,Left
39232,Stayed
67413,Stayed
69294,Left
45890,Stayed
40250,Left
51042,Stayed
7325,Left
10094,Stayed
8967,Stayed
26125,Stayed
25404,Left
17498,Stayed
34108,Stayed
25894,Left
47650,Left
59494,Stayed
37502,Left
47626,Stayed
33416,Left
23790,Left
39401,Stayed
50077,Left
48257,Stayed
30627,Stayed
53274,Stayed
8778,Left
38314,Stayed
65696,Left
30018,Left
49485,Stayed
45235,Stayed
28443,Stayed
26487,Stayed
68864,Stayed
40222,Stayed
40514,Left
44907,Stayed
20128,Stayed
1642,Left
68909,Stayed
68221,Left
40172,Stayed
24567,Stayed
35885,Stayed
35822,Left
51505,Stayed
31215,Stayed
54485,Stayed
73434,Stayed
57020,Left
43667,Stayed
20039,Stayed
757,Stayed
71553,Left
53387,Stayed
48086,Left
40519,Left
39937,Stayed
9406,Left
36050,Stayed
53049,Left
43560,Left
63365,Left
53996,Left
32905,Left
43814,Stayed
54057,Left
42252,Left
48647,Left
16752,Left
45479,Stayed
8558,Left
45555,Stayed
52719,Stayed
26829,Left
4362,Left
68309,Stayed
29644,Left
41595,Stayed
29523,Stayed
64523,Stayed
33463,Stayed
3133,Stayed
66950,Stayed
17279,Stayed
25345,Stayed
59416,Stayed
32483,Left
8399,Stayed
46508,Left
23869,Left
47857,Stayed
30141,Stayed
23797,Stayed
66019,Stayed
63470,Stayed
41842,Stayed
47195,Stayed
35346,Stayed
27137,Left
47381,Stayed
64869,Left
7992,Stayed
46347,Stayed
41267,Stayed
9024,Stayed
45056,Left
27309,Stayed
17584,Left
57470,Stayed
14244,Left
8356,Stayed
22513,Left
33516,Left
42389,Stayed
3212,Stayed
59531,Left
23414,Stayed
16829,Left
15001,Left
2993,Stayed
60860,Stayed
73382,Stayed
28815,Stayed
63453,Stayed
46056,Stayed
47945,Stayed
64509,Left
70902,Left
1414,Left
37767,Stayed
6176,Left
8064,Left
13109,Left
34098,Left
40852,Stayed
67210,Stayed
54237,Stayed
22887,Left
71100,Stayed
4664,Stayed
61914,Left
44270,Stayed
29187,Stayed
47380,Left
68925,Left
54876,Stayed
73604,Left
74055,Left
29160,Left
27513,Stayed
12268,Left
52753,Stayed
447,Stayed
48897,Stayed
18417,Stayed
24877,Stayed
5955,Left
12669,Stayed
57937,Stayed
38632,Left
65559,Stayed
34509,Left
70603,Stayed
27768,Stayed
11494,Left
13907,Stayed
6037,Left
45980,Stayed
64945,Stayed
33374,Left
42039,Left
57085,Left
66187,Stayed
23047,Left
31624,Stayed
702,Left
7723,Left
54886,Stayed
35435,Left
64301,Left
29365,Left
25322,Left
50966,Stayed
35787,Stayed
44978,Left
61214,Left
64574,Stayed
48397,Left
9986,Left
59809,Left
15723,Left
37994,Left
69849,Stayed
56658,Left
21145,Left
20637,Stayed
57272,Left
32790,Left
39511,Stayed
55437,Left
48053,Left
7679,Stayed
42200,Left
38591,Stayed
12679,Left
32541,Stayed
63721,Stayed
9294,Stayed
7159,Left
45822,Stayed
14050,Left
36609,Stayed
56029,Stayed
58719,Left
61356,Left
7816,Stayed
37170,Stayed
36593,Left
13798,Stayed
66876,Left
6652,Left
23138,Stayed
30425,Left
28597,Left
60835,Stayed
22551,Left
41692,Left
67406,Stayed
2274,Left
60301,Stayed
38821,Left
55090,Left
53273,Stayed
47416,Left
52818,Stayed
50281,Stayed
61267,Left
39660,Left
18491,Stayed
47987,Stayed
54424,Left
13313,Stayed
25074,Stayed
15775,Left
7268,Stayed
20174,Left
9355,Left
16755,Left
32015,Stayed
38317,Left
65517,Stayed
67316,Stayed
70428,Left
56772,Left
22916,Stayed
21105,Stayed
39319,Stayed
20840,Left
58225,Stayed
11119,Left
66117,Left
20799,Stayed
36631,Left
63298,Left
40163,Stayed
23016,Left
42639,Left
47584,Left
52477,Left
64847,Left
26055,Stayed
69592,Stayed
72532,Stayed
72208,Stayed
46307,Left
56905,Left
40743,Stayed
49405,Left
7948,Left
30160,Left
45411,Left
46498,Stayed
34862,Left
9556,Stayed
37432,Left
63699,Left
53655,Stayed
2639,Stayed
72170,Left
17241,Left
14523,Stayed
17027,Left
12734,Stayed
39570,Stayed
25627,Left
60866,Left
2360,Left
58298,Left
1182,Stayed
12363,Stayed
9545,Stayed
16133,Left
5415,Left
50672,Left
39793,Left
60882,Left
7864,Left
62815,Stayed
65391,Left
16108,Stayed
12888,Left
46097,Left
61126,Stayed
42224,Stayed
43266,Stayed
656,Left
5432,Left
54994,Stayed
69265,Left
67818,Left
70251,Stayed
1584,Stayed
72980,Stayed
16515,Left
18655,Left
74398,Stayed
17458,Stayed
34500,Stayed
17272,Stayed
73685,Left
49925,Stayed
70130,Left
44501,Stayed
30601,Left
66101,Left
47403,Stayed
17300,Stayed
16462,Left
66697,Left
10375,Stayed
24725,Stayed
50191,Stayed
35611,Stayed
42474,Left
1220,Stayed
32346,Left
44083,Stayed
72309,Left
25695,Stayed
15604,Stayed
5929,Left
72929,Left
15270,Stayed
19091,Left
54116,Left
45885,Stayed
39440,Stayed
27909,Stayed
15261,Left
58168,Left
16649,Stayed
4144,Stayed
60417,Left
36261,Stayed
47868,Stayed
24461,Stayed
19237,Stayed
43688,Stayed
59442,Stayed
53982,Stayed
26705,Stayed
115,Left
17114,Stayed
56257,Left
64315,Left
68390,Left
21380,Left
47331,Stayed
5898,Stayed
37103,Stayed
72771,Left
19377,Stayed
40447,Left
56245,Stayed
45557,Stayed
32382,Stayed
55863,Left
51080,Left
26217,Stayed
66645,Stayed
66341,Stayed
64797,Stayed
47529,Left
5066,Stayed
37169,Left
60204,Stayed
48401,Stayed
13447,Stayed
13822,Stayed
55518,Left
50009,Left
52974,Left
69401,Left
26750,Stayed
11559,Left
43279,Stayed
12425,Stayed
4220,Stayed
6348,Left
64377,Stayed
54657,Left
17180,Stayed
45941,Stayed
62746,Stayed
5713,Left
29417,Stayed
37478,Left
29217,Stayed
44007,Left
15131,Left
72602,Left
37255,Left
5091,Left
36340,Stayed
25685,Stayed
30278,Left
21041,Left
24351,Stayed
46082,Stayed
6206,Stayed
21477,Left
65656,Left
20143,Stayed
49510,Left
30039,Stayed
23922,Left
45010,Stayed
24328,Left
13153,Stayed
58836,Left
58471,Stayed
54133,Stayed
5930,Left
40991,Left
2087,Stayed
18662,Left
37072,Left
23935,Stayed
70537,Stayed
42148,Left
56476,Stayed
13283,Stayed
45658,Left
15072,Left
59522,Left
13099,Stayed
45921,Stayed
44862,Stayed
53856,Left
53717,Left
25582,Left
20742,Stayed
56294,Left
59998,Stayed
39664,Stayed
34998,Left
40227,Stayed
27363,Left
41530,Left
653,Left
54164,Stayed
50280,Stayed
72253,Stayed
44537,Stayed
44207,Left
33433,Left
18464,Left
64123,Left
67913,Left
65462,Left
47297,Stayed
6560,Left
8351,Stayed
29665,Left
36969,Left
53079,Left
43748,Stayed
51473,Stayed
4913,Left
27172,Left
5397,Left
14537,Stayed
5267,Left
62970,Left
35667,Stayed
1033,Left
40784,Left
62012,Stayed
19963,Stayed
2297,Stayed
67361,Stayed
53034,Left
11426,Left
59857,Stayed
2494,Stayed
61468,Stayed
12650,Stayed
7129,Stayed
5919,Left
45777,Left
57072,Stayed
50931,Left
69462,Stayed
73570,Left
59063,Left
20672,Stayed
59960,Stayed
45119,Left
73901,Stayed
27180,Stayed
13644,Left
25250,Left
49211,Left
52054,Stayed
38510,Left
40816,Stayed
59928,Stayed
71571,Left
67064,Left
50130,Stayed
41249,Stayed
26065,Stayed
46892,Stayed
6405,Left
16468,Left
62783,Stayed
9805,Left
14051,Stayed
23343,Stayed
20980,Left
58920,Stayed
4130,Left
46830,Left
58341,Stayed
26192,Stayed
21090,Stayed
39210,Left
50251,Stayed
25950,Left
50774,Left
12142,Left
52707,Stayed
40120,Stayed
17285,Left
18199,Stayed
72711,Left
64835,Stayed
47613,Stayed
70797,Left
2495,Left
1806,Left
28057,Left
55491,Left
23617,Left
11318,Left
32986,Left
61287,Left
68890,Stayed
64049,Stayed
680,Stayed
36339,Left
1166,Left
6393,Stayed
8106,Stayed
23469,Left
22447,Left
17091,Left
23781,Stayed
56657,Stayed
24398,Left
13696,Stayed
31807,Left
1214,Left
14949,Stayed
30320,Stayed
2881,Stayed
48126,Stayed
73068,Stayed
22207,Stayed
66010,Stayed
49635,Left
57911,Stayed
22592,Stayed
6426,Left
12591,Stayed
3581,Stayed
41264,Left
36978,Stayed
18216,Left
55528,Left
324,Stayed
2763,Left
74452,Left
49868,Left
17080,Left
34915,Left
26637,Stayed
21901,Stayed
72444,Left
37226,Left
840,Stayed
41032,Stayed
25611,Stayed
45378,Stayed
55760,Left
39835,Left
20859,Left
41340,Left
66357,Left
6995,Left
51537,Stayed
27039,Left
21746,Stayed
18416,Stayed
72238,Left
485,Stayed
43303,Left
69807,Stayed
56328,Left
55400,Left
38138,Stayed
46990,Left
12008,Stayed
34879,Left
25212,Left
46167,Left
8170,Stayed
32129,Left
36323,Stayed
65497,Stayed
41576,Left
30142,Left
58988,Stayed
16886,Stayed
36513,Left
61571,Stayed
15369,Left
17898,Stayed
37001,Left
50098,Left
8405,Stayed
60174,Left
13315,Stayed
57539,Left
62001,Stayed
20776,Left
72365,Left
51947,Stayed
72285,Stayed
50237,Left
39001,Left
6062,Left
20357,Stayed
4734,Stayed
64420,Left
39970,Stayed
69883,Left
25680,Left
24423,Left
40560,Left
42784,Stayed
46860,Left
33423,Left
37282,Stayed
25871,Stayed
2310,Stayed
71206,Stayed
26685,Stayed
13960,Left
56130,Left
72428,Stayed
50899,Stayed
6014,Stayed
8467,Left
53005,Left
14421,Stayed
62634,Left
2981,Left
27889,Left
64564,Left
72817,Left
4469,Stayed
27467,Stayed
70103,Stayed
58172,Stayed
34633,Stayed
40808,Stayed
45550,Left
64648,Stayed
73837,Left
69645,Left
59453,Left
9688,Left
72256,Stayed
55820,Left
44096,Left
63389,Left
1492,Stayed
69446,Stayed
35520,Stayed
50316,Stayed
45316,Left
73878,Left
70861,Stayed
65333,Stayed
66150,Left
70247,Stayed
7218,Stayed
13939,Stayed
1423,Left
68340,Left
52533,Stayed
67305,Left
40605,Left
48057,Stayed
19438,Stayed
12244,Left
49639,Left
24680,Stayed
43269,Left
49133,Left
17892,Left
60572,Left
52869,Stayed
50110,Stayed
64311,Left
67804,Stayed
63666,Left
56826,Stayed
4736,Left
51090,Left
69873,Stayed
36130,Stayed
49526,Left
45809,Left
44194,Stayed
34860,Stayed
47668,Stayed
37904,Stayed
8427,Left
24428,Stayed
25370,Left
73277,Left
64024,Left
10672,Left
40117,Stayed
65568,Left
2997,Stayed
25949,Stayed
27253,Left
47540,Stayed
43961,Stayed
47768,Left
35571,Stayed
57473,Stayed
46656,Stayed
49249,Left
66871,Stayed
51141,Stayed
22582,Stayed
54679,Stayed
23145,Left
36589,Left
21745,Left
7256,Left
46953,Stayed
59216,Stayed
52738,Left
20076,Stayed
42056,Left
3004,Stayed
53756,Left
34467,Left
51794,Left
3138,Stayed
35092,Stayed
45266,Stayed
41561,Stayed
41674,Left
42359,Stayed
52790,Stayed
6433,Left
32456,Stayed
20664,Left
13950,Stayed
2998,Left
5953,Left
18847,Stayed
72814,Left
10142,Stayed
12959,Left
31670,Left
61329,Stayed
36803,Stayed
50892,Left
19887,Left
63302,Left
50362,Left
25117,Stayed
14770,Stayed
64234,Left
55750,Left
968,Stayed
37436,Stayed
42702,Stayed
39515,Left
58257,Left
52840,Left
11479,Stayed
10291,Stayed
13758,Stayed
22270,Stayed
52785,Stayed
37249,Stayed
2942,Stayed
4860,Stayed
34060,Left
20935,Left
9070,Left
28714,Left
20346,Left
71305,Left
62582,Left
48766,Stayed
57232,Left
34656,Left
36855,Left
57467,Stayed
502,Left
6226,Stayed
65347,Stayed
45323,Stayed
62896,Left
20866,Stayed
62394,Left
4564,Stayed
21729,Left
3051,Left
41064,Stayed
25443,Left
16500,Left
23030,Left
12659,Stayed
1837,Stayed
56878,Stayed
28686,Stayed
5049,Stayed
59696,Stayed
10100,Left
9312,Stayed
31688,Stayed
39189,Left
66570,Stayed
39331,Stayed
37739,Stayed
37008,Stayed
16370,Stayed
21258,Left
70262,Stayed
57952,Left
3349,Stayed
53758,Stayed
11779,Stayed
53329,Left
66725,Stayed
69456,Stayed
7367,Left
4585,Left
38940,Left
27766,Left
67772,Left
53561,Stayed
9190,Stayed
25454,Left
16760,Stayed
47145,Left
23461,Stayed
31038,Stayed
22730,Left
3285,Left
52559,Left
29737,Left
16010,Left
19571,Stayed
19916,Stayed
53797,Stayed
6760,Stayed
71366,Stayed
56281,Left
24964,Stayed
43397,Stayed
65368,Stayed
45431,Left
11393,Left
46592,Stayed
16751,Stayed
62017,Stayed
32582,Stayed
3305,Stayed
68430,Stayed
53036,Stayed
59463,Stayed
65477,Left
16330,Stayed
9933,Left
36171,Stayed
48914,Stayed
29862,Left
17161,Stayed
20165,Stayed
61762,Stayed
48253,Stayed
8618,Left
18308,Stayed
32961,Stayed
27035,Left
28273,Left
25202,Stayed
54398,Left
64440,Left
40393,Left
5821,Stayed
34274,Left
238,Left
13133,Stayed
12154,Left
35836,Stayed
16658,Stayed
9764,Stayed
25301,Left
2692,Stayed
67199,Stayed
74273,Left
70506,Left
10139,Left
55725,Left
22279,Left
18443,Stayed
39004,Left
65625,Stayed
56957,Left
15879,Left
17765,Left
32743,Stayed
74033,Stayed
28097,Stayed
33018,Stayed
6937,Left
54194,Stayed
40312,Stayed
37779,Stayed
60945,Left
26043,Left
22979,Left
22803,Left
45427,Stayed
61141,Stayed
27911,Left
26996,Left
71344,Left
56522,Stayed
58311,Left
59295,Left
23758,Stayed
53210,Stayed
68373,Stayed
13518,Stayed
39747,Stayed
4104,Stayed
50873,Left
32043,Stayed
44729,Stayed
963,Stayed
58935,Left
64033,Stayed
41727,Stayed
1847,Stayed
41110,Left
71512,Left
